AIDS Report Number,Local Event Date,Event City,Event State,Event Airport,Event Type,Aircraft Damage,Flight Phase,Aircraft Make,Aircraft Model,Aircraft Series,Operator,Primary Flight Type,Flight Conduct Code,Flight Plan Filed Code,Aircraft Registration Nbr,Total Fatalities,Total Injuries,Aircraft Engine Make,Aircraft Engine Model,Engine Group Code,Nbr of Engines,PIC Certificate Type,PIC Flight Time Total Hrs,PIC Flight Time Total Make-Model, , 
19780110002409I,10-Jan-78,DALLAS,TX,MIDLAND INTL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),BOEING,727,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,6809,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780111002509I,11-Jan-78,DALLAS,TX,MIDLAND INTL,INCIDENT,,CLIMB,BOEING,727,27,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7280,0,0,PWA,JT8*,JT8,3,AIRLINE TRANSPORT,,0,0,0
19780111002519I,11-Jan-78,MEMPHIS,TN,MEMPHIS INTL,INCIDENT,,OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT,BOEING,727,UNDESIGNATED SERIES,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,NONE,428BN,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780111002529I,11-Jan-78,HOUSTON,TX,WILLIAM P HOBBY,INCIDENT,MINOR,NORMAL CRUISE,BOEING,737,UNDESIGNATED SERIES,SOUTHWEST AIRLINES CO,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,22SW,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780111002539I,11-Jan-78,SAN JOSE,CA,NORMAN Y. MINETA SAN JOSE INTL,INCIDENT,,NORMAL CRUISE,BOEING,727,200,PACIFIC SOUTHWEST AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,528PS,0,0,,,,3,AIRLINE TRANSPORT,23200,7200,0,0
19780112002769I,12-Jan-78,OAKLAND,CA,METROPOLITAN OAKLAND INTL,INCIDENT,,NORMAL CRUISE,BOEING,727,200,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,541PS,0,0,,,,3,AIRLINE TRANSPORT,8100,3000,0,0
19780113002809I,13-Jan-78,BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,INCIDENT,,CLIMB,BOEING,727,232,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,407DA,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780113002829I,13-Jan-78,JAMAICA,NY,JOHN F KENNEDY INTL,INCIDENT,,NORMAL CRUISE,BOEING,747,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,9674,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780114002949I,14-Jan-78,TULSA,OK,TULSA INTL,INCIDENT,,NORMAL CRUISE,BOEING,727,227,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,441BN,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780116003199I,16-Jan-78,JAMAICA,NY,JOHN F KENNEDY INTL,INCIDENT,MINOR,STARTING ENGINES,BOEING,747,121,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,742PA,0,0,PWA,JT9D7,JT9,4,AIRLINE TRANSPORT,,0,0,0
19780117003329I,17-Jan-78,,,BERMUDA DUNES,INCIDENT,,NORMAL CRUISE,BOEING,747,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,674,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780117003349I,17-Jan-78,WINDSOR LOCKS,CT,BRADLEY,INCIDENT,,DESCENT,BOEING,727,225,EASTERN AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8832E,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780118003459I,18-Jan-78,SAN FRANCISCO,CA,SAN FRANCISCO INTL,INCIDENT,,NORMAL CRUISE,BOEING,707,323C,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8416,0,0,,,,4,AIRLINE TRANSPORT,16500,12000,0,0
19780118003479I,18-Jan-78,MIAMI,FL,MIAMI INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BOEING,727,25,EASTERN AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8126N,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780119003549I,19-Jan-78,ANCHORAGE,AK,TED STEVENS ANCHORAGE INTL,INCIDENT,MINOR,CLIMB,BOEING,747,UNDESIGNATED SERIES,THE FLYING TIGER LINE INC,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,802,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780119003569I,19-Jan-78,CHARLOTTE,NC,DOUGLAS MUNI,INCIDENT,,OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT,BOEING,727,200,EASTERN AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8855E,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780120003759I,20-Jan-78,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,INCIDENT,,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,737,201,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,744N,0,0,,,,2,AIRLINE TRANSPORT,22035,2250,0,0
19780120003779I,20-Jan-78,TULSA,OK,TULSA INTL,INCIDENT,,NORMAL CRUISE,BOEING,707,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,6789T,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780121004049I,21-Jan-78,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,MINOR,OTHER GROUND OPERATIONS,BOEING,727,200,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7627,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780121004069I,21-Jan-78,FILLMORE,CA,,INCIDENT,,NORMAL CRUISE,BOEING,737,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,469GB,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780122004089I,22-Jan-78,NEWARK,NJ,NEWARK LIBERTY INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,747,UNDESIGNATED SERIES,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,4720U,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780123004569I,23-Jan-78,HOUSTON,TX,GEORGE BUSH INTERCONTINENTAL/HOUSTON,INCIDENT,,FINAL APPROACH- INSTRUMENT FLIGHT RULES,BOEING,727,200,NATIONAL AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,4754,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780124004779I,24-Jan-78,OKLAHOMA CITY,OK,WILL ROGERS WORLD,INCIDENT,,"GROUND TAXI, OTHER AIRPLANE",BOEING,727,UNDESIGNATED SERIES,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,54337,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780125004869I,25-Jan-78,BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,INCIDENT,MINOR,TAKEOFF GROUND ROLL,BOEING,747,123,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,9663,0,0,PWA,JT9D3A,JT9,4,AIRLINE TRANSPORT,,0,0,0
19780126005049I,26-Jan-78,JAMAICA,NY,JOHN F KENNEDY INTL,INCIDENT,,CLIMB,BOEING,747,121,PAN AMERICAN WORLD AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,771PA,0,0,PWA,JT9D7A,JT9,4,AIRLINE TRANSPORT,,0,0,0
19780126005079I,26-Jan-78,JAMAICA,NY,JOHN F KENNEDY INTL,INCIDENT,MINOR,INITIAL APPROACH-INSTRUMENT FLIGHT RULES,BOEING,747,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,664,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780127002039I,27-Jan-78,EAST BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,INCIDENT,,ROLL-OUT (FIXED WING),BOEING,747,273C,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,748WA,0,0,,,,4,AIRLINE TRANSPORT,,0,0,0
19780127002659I,27-Jan-78,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,,CLIMB,BOEING,727,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,6824,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780127002689I,27-Jan-78,NASHVILLE,TN,METRO FLD,INCIDENT,,TO ABORTED (FIXED WING),BOEING,727,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,1980,0,0,,,,3,AIRLINE TRANSPORT,10000,2500,0,0
19780128003789I,28-Jan-78,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,,NORMAL CRUISE,BOEING,747,UNDESIGNATED SERIES,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,4713U,0,0,PWA,JT9D3A,JT9,,AIRLINE TRANSPORT,,0,0,0
19780128003799I,28-Jan-78,CORPUS CHRISTI,TX,,INCIDENT,,CLIMB,BOEING,727,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,446,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780128004349I,28-Jan-78,BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,INCIDENT,,"GROUND TAXI, OTHER AIRPLANE",BOEING,707,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7586,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780129004689I,29-Jan-78,ANCHORAGE,AK,TED STEVENS ANCHORAGE INTL,INCIDENT,SUBSTANTIAL,"GROUND TAXI, OTHER AIRPLANE",BOEING,747,UNDESIGNATED SERIES,,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,803,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780130004849I,30-Jan-78,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,727,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,401BF,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780130004859I,30-Jan-78,KANSAS CITY,MO,KANSAS CITY INTL,INCIDENT,MINOR,CLIMB,BOEING,727,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,405,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780131001919I,31-Jan-78,SHREVEPORT,LA,SHREVEPORT RGNL,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8153G,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780201005099I,1-Feb-78,GREENSBORO,NC,,INCIDENT,MINOR,ROLL-OUT (FIXED WING),BOEING,727,UNDESIGNATED SERIES,EASTERN AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8836E,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780201005109I,1-Feb-78,SAN JUAN,PR,SAN JUAN INTL,INCIDENT,,NORMAL CRUISE,BOEING,707,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8401,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780201005159I,1-Feb-78,HOUSTON,TX,WILLIAM P HOBBY,INCIDENT,,NORMAL CRUISE,BOEING,737,UNDESIGNATED SERIES,SOUTHWEST AIRLINES CO,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,24SW,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780202005479I,2-Feb-78,NEW ORLEANS,LA,NEW ORLEANS INTL,INCIDENT,,UNKNOWN,BOEING,727,UNDESIGNATED SERIES,NATIONAL AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,NR79,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780202005509I,2-Feb-78,NEWARK,NJ,NEWARK LIBERTY INTL,INCIDENT,,CLIMB,BOEING,727,UNDESIGNATED SERIES,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7280,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780202005529I,2-Feb-78,EL PASO,TX,EL PASO INTL,INCIDENT,,OTHER GROUND OPERATIONS,BOEING,727,224,CONTINENTAL AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,32724,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780202005539I,2-Feb-78,AGANA,GU,AGANA INTL,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,CONTINENTAL AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,2475,0,0,PWA,JT8*,JT8,3,AIRLINE TRANSPORT,,0,0,0
19780204005879I,4-Feb-78,BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,INCIDENT,,NORMAL CRUISE,BOEING,747,131,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,93107,0,0,,,,4,AIRLINE TRANSPORT,,0,0,0
19780205005999I,5-Feb-78,HOUSTON,TX,GEORGE BUSH INTERCONTINENTAL/HOUSTON,INCIDENT,,CLIMB,BOEING,727,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,29730,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780206006179I,6-Feb-78,DES MOINES,IA,,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7028U,0,0,,,,3,AIRLINE TRANSPORT,12832,4953,0,0
19780208006909I,8-Feb-78,DENVER,CO,DENVER INTL,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,298,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780208006919I,8-Feb-78,MIAMI,FL,,INCIDENT,MINOR,UNKNOWN,BOEING,727,235,PAN AMERICAN WORLD AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,4750,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780211006929I,11-Feb-78,WINDSOR LOCKS,CT,BRADLEY INTL,INCIDENT,,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,727,UNDESIGNATED SERIES,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,440DA,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780215006619I,15-Feb-78,HOUSTON,TX,GEORGE BUSH INTERCONTINENTAL/HOUSTON,INCIDENT,,OTHER GROUND OPERATIONS,BOEING,727,UNDESIGNATED SERIES,EASTERN AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8880Z,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780219007559I,19-Feb-78,CHARLOTTESVILLE,VA,,INCIDENT,MINOR,TAKEOFF GROUND ROLL,BOEING,737,201,PIEDMONT AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,735N,0,0,,,,2,AIRLINE TRANSPORT,,0,0,0
19780221000119I,21-Feb-78,HARRISBURG,PA,HARRISBURG INTL,INCIDENT,,CLIMB,BOEING,727,UNDESIGNATED SERIES,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,5432,0,0,PWA,JT8*,JT8,3,AIRLINE TRANSPORT,,0,0,0
19780222000709I,22-Feb-78,ATLANTA,GA,ATLANTA MUNI,INCIDENT,,UNKNOWN,BOEING,727,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7024U,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780223000949I,23-Feb-78,SAN DIEGO,CA,,INCIDENT,,ROLL-OUT (FIXED WING),BOEING,727,214,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,535PS,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780227000319I,27-Feb-78,FLUSHING,NY,JOHN F KENNEDY INTL,INCIDENT,,NORMAL CRUISE,BOEING,747,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,670,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780228000899I,28-Feb-78,SAN DIEGO,CA,,INCIDENT,,NORMAL CRUISE,BOEING,720,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,343,0,0,,,,4,AIRLINE TRANSPORT,16450,1730,0,0
19780228000909I,28-Feb-78,BATON ROUGE,LA,RYAN FIELD,INCIDENT,,ROLL-OUT (FIXED WING),BOEING,727,232,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,481DA,0,0,,,,3,AIRLINE TRANSPORT,17500,2500,0,0
19780228000939I,28-Feb-78,DALLAS,TX,DALLAS LOVE FIELD,INCIDENT,,"GROUND TAXI, OTHER AIRPLANE",BOEING,737,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7361,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780302014199I,2-Mar-78,SAN ANTONIO,TX,SAN ANTONIO INTL,INCIDENT,,"GROUND TAXI, OTHER AIRPLANE",BOEING,727,UNDESIGNATED SERIES,CONTINENTAL AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,NR97,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780303015669I,3-Mar-78,SEATTLE,WA,,INCIDENT,,NORMAL CRUISE,BOEING,747,UNDESIGNATED SERIES,NORTHWEST AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,608,0,0,,,,,AIRLINE TRANSPORT,21544,750,0,0
19780303015689I,3-Mar-78,SPOKANE,WA,SPOKANE INTL,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,NR99,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780303016069I,3-Mar-78,BOSTON,MA,,INCIDENT,,CLIMB,BOEING,727,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,6800,0,0,PWA,JT8*,JT8,3,AIRLINE TRANSPORT,,0,0,0
19780304015429I,4-Mar-78,BURBANK,CA,BURBANK MUNI,INCIDENT,MINOR,OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT,BOEING,727,UNDESIGNATED SERIES,PACIFIC SOUTHWEST AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,533PS,0,0,,,,3,AIRLINE TRANSPORT,13155,3000,0,0
19780304015439I,4-Mar-78,BURBANK,CA,BURBANK MUNI,INCIDENT,,OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT,BOEING,727,214,PACIFIC SOUTHWEST AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,530PS,0,0,,,,3,AIRLINE TRANSPORT,10820,6500,0,0
19780304015459I,4-Mar-78,BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,INCIDENT,,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,707,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7583,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780304015469I,4-Mar-78,BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,747,273C,WORLD AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,748WA,0,0,PWA,JT9*,JT9,4,AIRLINE TRANSPORT,,0,0,0
