"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"19870430022509I","30-APR-87","CHATTANOOGA","TN","","INCIDENT","MINOR","CLIMB","AIRBUS","A300","B4 203","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","201EA","0","0","GE","CF650C","CF6","2","AIRLINE TRANSPORT","","","",""
"19870513026179I","13-MAY-87","KANSAS CITY","MO","KANSAS CITY INTL","INCIDENT","","CLIMB","AIRBUS","A300","B4 203","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","225EA","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19870616037679I","16-JUN-87","WASHINGTON","DC","WASHINGTON DULLES INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","AIRBUS","A310","222","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","805PA","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19870621061999I","21-JUN-87","LOS ANGELES","CA","LOS ANGELES INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","AIRBUS","A300","B2 1A","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","NR681","0","1","","","","2","AIRLINE TRANSPORT","","","",""
"19870701039049I","01-JUL-87","SALT LAKE CITY","UT","SALT LAKE CITY INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B4 103","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","204EA","0","0","","","","2","AIRLINE TRANSPORT","28000","7000","240","240"
"19870701039769I","01-JUL-87","KANSAS CITY","MO","","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","AIRBUS","A300","B4 2C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","206EA","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19870730050789I","30-JUL-87","NEW YORK","NY","JOHN F KENNEDY INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A310","222","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","805PA","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19870803057929I","03-AUG-87","DENVER","CO","DENVER INTL","INCIDENT","MINOR","TAKEOFF GROUND ROLL","AIRBUS","A300","B4 203","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","966C","0","0","GE","CF6*","CF6","2","AIRLINE TRANSPORT","12100","661","97","97"
"19870813056959I","13-AUG-87","NEW YORK","NY","","INCIDENT","MINOR","STARTING ENGINES","AIRBUS","A310","324","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","813PA","0","0","","","","2","","","","",""
"19870827055389I","27-AUG-87","WASHINGTON","DC","WASHINGTON DULLES INTL","INCIDENT","MINOR","OTHER GROUND OPERATIONS","AIRBUS","A310","222","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","UNKNOWN","806PA","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19870906064869I","06-SEP-87","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A300","B4 203","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","206PA","0","0","","","","2","","","","",""
"19870910062599I","10-SEP-87","KANSAS CITY","MO","KANSAS CITY INTL","INCIDENT","MINOR","CLIMB","AIRBUS","A300","B4 203","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","223EA","0","0","","","","2","","","","",""
"19871230078999I","30-DEC-87","DETROIT","MI","DETROIT METROPOLITAN WAYNE COUNTY","INCIDENT","","ROLL-OUT (FIXED WING)","AIRBUS","A310","324","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","811PA","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19880121006169I","21-JAN-88","KANSAS CITY","MO","KANSAS CITY INTL","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","AIRBUS","A300","B4 203","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","972C","0","0","GE","CF650*","CF6","2","AIRLINE TRANSPORT","","","",""
"19880510025169I","10-MAY-88","","","","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","AIRBUS","A300","B4 103","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","91050","0","0","GE","CF680C2B2","CF6","2","AIRLINE TRANSPORT","","20","","20"
"19881004062939I","04-OCT-88","ATLANTIC OCEAN","NY","","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","UNDESIGNATED SERIES","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","NR744","0","3","","","","2","AIRLINE TRANSPORT","","114","60","60"
"19881024070059I","24-OCT-88","SAN JUAN","PR","LUIS MUNOZ MARIN INTL","INCIDENT","MINOR","FORCED/PRECAUTIONARY LANDING","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","70054","0","2","GE","CF680C2B2","CF6","2","AIRLINE TRANSPORT","","104","","90"
"19881127056539I","27-NOV-88","SAN JUAN","PR","LUIS MUNOZ MARIN INTL","INCIDENT","MINOR","FORCED/PRECAUTIONARY LANDING","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","80057","0","14","GE","CF680C2B2","CF6","2","AIRLINE TRANSPORT","","","",""
"19890106016619I","06-JAN-89","WEST PALM BEACH","FL","PALM BEACH INTL","INCIDENT","","CLIMB","AIRBUS","A300","B4 203","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","225EA","0","0","GE","CF6*","CF6","2","AIRLINE TRANSPORT","12308","528","",""
"19890107007019I","07-JAN-89","","VI","","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A310","324","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","817PA","0","2","","","","2","AIRLINE TRANSPORT","","","",""
"19890126009089I","26-JAN-89","SAN JUAN","PR","LUIS MUNOZ MARIN INTL","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","80057","0","0","GE","CF650C","CF6","2","AIRLINE TRANSPORT","","46","",""
"19890206009289I","06-FEB-89","CHARLOTTE AMALIE","VI","CYRIL E KING","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","7062A","0","0","","","","2","AIRLINE TRANSPORT","","300","",""
"19890209022709I","09-FEB-89","BIRMINGHAM","AL","BIRMINGHAM-SHUTTLESWORTH INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A300","UNDESIGNATED SERIES","","BUSINESS","GENERAL OPERATING RULES","NONE","405","0","0","","","","2","","","","",""
"19890603031379I","03-JUN-89","BANGOR","ME","BANGOR INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","AIRBUS","A310","222","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","807PA","0","0","PWA","JT9*","JT9","2","AIRLINE TRANSPORT","","","",""
"19890629043269I","29-JUN-89","MANZANILLO","","","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","80057","0","7","","","","2","AIRLINE TRANSPORT","","216","",""
"19890722040649I","22-JUL-89","","FL","","INCIDENT","MINOR","NORMAL CRUISE","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","80052","0","41","","","","2","AIRLINE TRANSPORT","","700","",""
"19890914052709I","14-SEP-89","PORTLAND","OR","PORTLAND INTL","INCIDENT","","OTHER GROUND OPERATIONS","AIRBUS","A300","B4 103","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","UNKNOWN","204EA","0","1","","","","2","AIRLINE TRANSPORT","","","",""
"19891027043389I","27-OCT-89","","MA","","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","70072","0","21","","","","2","AIRLINE TRANSPORT","","748","",""
"19891120046099I","20-NOV-89","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","91050","0","6","","","","2","COMMERCIAL PILOT","16000","228","35","35"
"19900129004969I","29-JAN-90","NEW YORK","NY","JOHN F KENNEDY INTL","INCIDENT","","DESCENT","AIRBUS","A310","324","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","817PA","0","0","","","","2","AIRLINE TRANSPORT","1700","1506","160","160"
"19900311026799I","11-MAR-90","WINDSOR LOCKS","CT","BRADLEY INTL","INCIDENT","MINOR","FORCED/PRECAUTIONARY LANDING","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","18066","0","0","","","","2","AIRLINE TRANSPORT","","992","",""
"19900704042919I","04-JUL-90","DENVER","CO","DENVER INTL","INCIDENT","MINOR","TO ABORTED (FIXED WING)","AIRBUS","A300","B4 103","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","72990","0","0","GE","CF6*","CF6","2","AIRLINE TRANSPORT","","","",""
"19900726034629I","26-JUL-90","MEMPHIS","TN","MEMPHIS INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","308US","0","0","","","","2","","","","",""
"19900810052699I","10-AUG-90","CHICAGO","IL","CHICAGO O'HARE INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","AIRBUS","A320","231","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","306US","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19900820044749I","20-AUG-90","PROVIDENCIALES","","","INCIDENT","","FCD/PREC LDG FROM CRUISE","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","25071","0","0","","","","2","","","","",""
"19900827055019I","27-AUG-90","NEWARK","NJ","NEWARK LIBERTY INTL","INCIDENT","MINOR","STARTING ENGINES","AIRBUS","A300","B4 203","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","968C","0","26","GE","CF650C2","CF6","2","AIRLINE TRANSPORT","","250","",""
"19900908058699I","08-SEP-90","SAN DIEGO","CA","SAN DIEGO INTL","INCIDENT","","FINAL APPROACH- INSTRUMENT FLIGHT RULES","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","301US","0","0","","","","2","UNKNOWN/FOREIGN","","","",""
"19910102002359I","02-JAN-91","LAS VEGAS","NV","MC CARRAN INTL","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","311US","0","0","","","","2","AIRLINE TRANSPORT","20000","700","",""
"19910717043199I","17-JUL-91","NEWARK","NJ","NEWARK LIBERTY INTL","INCIDENT","","DESCENT","AIRBUS","A300","B4 203","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","72986","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19910828062919I","28-AUG-91","ATLANTIC OCEAN","PR","","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","18066","0","33","GENELC","CF680C2B6","CF6","2","AIRLINE TRANSPORT","16000","12000","185","185"
"19910829042759I","29-AUG-91","LAS VEGAS","NV","MC CARRAN INTL","INCIDENT","MINOR","DESCENT","AIRBUS","A320","231","AMERICA WEST AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","624AW","0","0","","","","2","","","","",""
"19911030051749I","30-OCT-91","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","","TO ABORTED (FIXED WING)","AIRBUS","A300","B4 103","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","14980","0","0","GE","CF650C","CF6","2","","","","",""
"19911114054419I","14-NOV-91","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","MINOR","FORCED/PRECAUTIONARY LANDING","AIRBUS","A300","B4 103","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","13983","0","0","","","","2","","","","",""
